"sku";"store";"name";"short_description";"description";"curl";"status";"price";"qty";"length";"categories";"featured";"visibility"
"2SKUL10001";"web2";"Ripsienpidennyshuolto (Ellipsi)";;;;1;"60,00";1000;0;"[web2]/category1";0;2
"2HOHO021";"web2";"Kulmien värjäys";"Kulmien värjäys";"Kulmien värjäys";;1;"10,00";1000;0;"[web2]/category1";0;2
"2HOHO025";"web2";"Kulmien ja ripsien värjäys + muotoilu";"Kulmien ja ripsien värjäys + muotoilu";"Kulmien ja ripsien värjäys + muotoilu";;1;"25,00";1000;0;"[web2]/category2";0;2
"2SKUL10004";"web2";"Klassinen- + Volyymiripsienpidennys koulutuspaketti";;"<p>Sovitaan erikseen kouluttajan kanssa.</p>";;1;"900,00";1000;0;"[web2]/category2";0;2
"2SKUL10005";"web2";"Volyymiripsienpidennys (2 päivää)";;"<p>Seuraava kurssi 29-20.4.2017 ja 1.5.2017</p>";;1;"650,00";1000;0;"[web2]/category2";0;2
"2HOHO024";"web2";"Kulmien värjäys ja muotoilu";"Kulmien värjäys ja muotoilu";"Kulmien värjäys ja muotoilu";;1;"15,00";1000;0;"[web2]/category2";0;2
"2SKUL10007";"web2";"Ellipsiripset";"Ultra kevyet ellipsiripset ovat tulleet Hohoemiin. Nyt saat näyttävät ripset, jotka tuntuvat kevyiltä ja mahtavilta. Kokeile, niin tiedät!";"<p><strong><span style=""font-size: 16px;"">Tulossa oleva UUTUUS !</span></strong></p><p><strong><span style=""font-size: 16px;""><br></span></strong></p><p><strong><span style=""font-size: 16px;""><br></span></strong></p><p><strong><span style=""background-colo";;1;"99,00";1000;0;"[web2]/category2";0;2
"2HOHO022";"web2";"Luksus manikyyri";"Luksus manikyyri";"Luksus manikyyri";;1;"25,00";1000;0;"[web2]/category2";0;2
"2DUM1";"web2";"Dumont pinsetit";"Dumont pinsetit";;;1;"65,00";1000;0;"[web2]/category5";0;2
"2LAHJA20";"web2";"Lahjakortti 20€";;;;1;"20,00";1000;0;"[web2]/category5";0;2
"2HOHO022";"web2";"Ripsien värjäys";"Ripsien värjäys";"Ripsien värjäys";;1;"10,00";1000;0;"[web2]/category5";0;2
"2HOHO002";"web2";"Ranskalaiset rakennekynnet";"Ranskalaiset rakennekynnet";"<p>Ranskalaiset rakennekynnet ovat upeat ja kestävät peruskynnet.&nbsp;</p><p><img alt="" src=""//cdn.finqu.com/users/6982/thumbnails/uploads/1_ranskalaiset-rakennekynnet_150_150.png"" height=""84"" width=""150""></p>";;1;"85,00";1000;0;"[web2]/category5";0;2
"2SKUL10012";"web2";"Rakennekynsihuolto (ranskalaiset)";;;;1;"65,00";1000;0;"[web2]/category5";1;2
"2SKUL10014";"web2";"Volyymiripsienpidennys koulutus (ammattilaisille 2 päivä)";;"<p>Volyymiripsi koulutus 2 päivää (hintaan sisältyy 24%ALV ja perus opetusmateriaalit).&nbsp;</p><p>Koulutuspäivinä saat kaikista tuoteostoksista -10% alennuksen.</p>";;1;"250,00";1000;0;"[web2]/category5";1;2
"2HOHO001";"web2";"Uudet tavalliset rakennekynnet";"Uudet tavalliset rakennekynnet";"<p><span style=""font-size: 16px;"">Meiltä saat upeat perinteiset rakennekynnet jotka kestää. Värin voit valita itse tai autamme teitä valitsemaan teille sopivan värin ja myös koristelut. Tyytyväisyystakuu!<br></span></p>";;1;"70,00";1000;0;"[web2]/category5";1;2
"2LAHJA40";"web2";"Lahjakortti 40€";;;;1;"40,00";1000;0;"[web2]/category16";1;2
"2HOHO005";"web2";"Kynnen korjaus (1)";"Kynnen korjaus";"Yhden kynnen korjaus";;1;"10,00";1000;0;"[web2]/category16";1;2
"2SKUL10018";"web2";"Ripsienpidennyshuolto (Volyymi)";;;;1;"65,00";1000;0;"[web2]/category16";1;2
"2HOHOLPEDI";"web2";"Luksus pedikyyri";"Luksus pedikyyri";"Luksus pedikyyri";;1;"49,00";1000;0;"[web2]/category16";1;2
"2LAHJA80";"web2";"Lahjakortti 80€";;;;1;"80,00";1000;0;"[web2]/category16";1;2
"2HOHO000";"web2";"Rakennekynsien poisto, sis. manikyyri";"Rakennekynsien poisto";"Rakennekynsien poisto";;1;"25,00";1000;0;"[web2]/category16";1;2
"2SKUL10022";"web2";"Rakennekynsihuolto (Glitteri)";;;;1;"75,00";1000;0;"[web2]/category16";1;2
"2HOHOGEL";"web2";"Kestävä geelilakkaus";"Geelilakkauksella saat kauniit kynnet valintasi mukaisilla väreillä";"<p>Geelilakkaus:</p>";;1;"25,00";1000;0;"[web2]/category16";1;2
"2HOHO022";"web2";"Kulmien muotoilu";"Kulmien muotoilu";"Kulmien muotoilu";;1;"10,00";1000;0;"[web2]/category16";1;2
"2HOHO006";"web2";"Kynsilakkaus";"Kynsilakkaus";"Kynsilakkaus";;1;"10,00";1000;0;"[web2]/category16";1;2
"2HOHOPEDI";"web2";"Pedikyyri";"Pedikyyri";"Hemmotteleva hohoemin spa pedikyyri";;1;"40,00";1000;0;"[web2]/category1";1;2
"2HOHO0112";"web2";"Hollywood volyymiripset";"Hollywood volyymiripset";"<p>Volyymiripset ovat astetta tuuheammat ripset, jotka tehdään käyttämällä erityistä viuhkottamistekniikkaa. Normaalisti yhteen ripseen kiinnitetään yksi ripsen pidennyt, mutta tässä tekniikassa yhteen luonnonripseen voidaan laittaa useampia pidennyksiä. ";;1;"129,00";1000;0;"[web2]/category1";1;2
"2LAHJA60";"web2";"Lahjakortti 60€";;;;1;"60,00";1000;0;"[web2]/category1";1;2
"2SKUL10029";"web2";"Rakennekynsihuolto";"Tavallisten rakennekynsien huolto";"Tavallisten rakennekynsien huolto";;1;"50,00";1000;0;"[web2]/category1";1;2
"2HOHO021";"web2";"Manikyyri";"Manikyyri";"<p>Manikyyri</p>";;1;"20,00";1000;0;"[web2]/category1";1;2
"2HOHO002";"web2";"Glitteri rakennekynnet";"Glitteri rakennekynnet";"<p>Glitteri rakennekynnet</p>";;1;"90,00";1000;0;"[web2]/category1";1;2
"2HOHO004";"web2";"Kynsien koristelu 122";"Kynsien koristelut";"Yhden kynnen koristelu 2€";;1;"0,70";1000;0;"[web2]/category1";1;2
